Feature-Name,Support-Level,Support-Data
Premium Storage,,
Premium Storage Caching,,
Generation 2 VMs,,
Ephemeral OS Disk,,
Live Migration,,
Memory Preserving Updates,,
Accelerated Networking,,
Nested Virtualization,,
Live Migration,,
Generation 1 VMs,,
Ultra Disks,,
Standard SSD,,
Standard HDD,,
Premium SSD v2,,
